 Age,RACE,famsize,INCOME,REGION,categories,colors,prices.amountMax,prices.amountMin,prices.color,prices.isSale,gender
39,WHITE,4,HINCOME,WEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,52.49,Gray,FALSE,Female
40,WHITE,4,HINCOME,WEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,63.99,Stone,FALSE,Female
37,BLACK,2,HINCOME,NORTHEAST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,55.99,Black,FALSE,Female
31,NATIV,1,POOR,SOUTH,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,79.99,Gray,FALSE,Female
27,WHITE,2,HINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,46.74,Blush,FALSE,Female
42,WHITE,2,LINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,41.24,Navy,FALSE,Female
33,OTHER,1,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,69.99,Navy,FALSE,Female
36,WHITE,3,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,43.99,Black,FALSE,Female
38,WHITE,6,LINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,43.99,Red,FALSE,Female
41,WHITE,3,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,54.99,Silver,FALSE,Female
43,WHITE,3,POOR,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,46.74,Silver,FALSE,Female
43,WHITE,3,HINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,46.74,Red,FALSE,Female
41,WHITE,4,LINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,54.99,Navy,FALSE,Female
38,WHITE,3,POOR,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,43.99,Navy,FALSE,Female
34,WHITE,5,POOR,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,46.74,Navy,FALSE,Female
45,WHITE,1,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,43.99,Blush,FALSE,Female
28,WHITE,1,HINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,69.99,Red,FALSE,Female
39,WHITE,2,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,46.74,Black,FALSE,Female
31,WHITE,3,MINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,46.74,Black,FALSE,Female
38,WHITE,5,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,41.24,Black,FALSE,Female
35,WHITE,5,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,43.99,Red,FALSE,Female
33,WHITE,4,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,54.99,Red,FALSE,Female
39,WHITE,7,NPOOR,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,54.99,Navy,FALSE,Female
29,WHITE,1,LINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection","Black,Grey,Beige",69.99,54.99,Blush,FALSE,Female
38,WHITE,10,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Gray,FALSE,Female
38,OTHER,3,HINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,49.99,Black,FALSE,Female
41,WHITE,2,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Gray,FALSE,Female
25,WHITE,4,HINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,42.49,Black,FALSE,Female
39,WHITE,4,POOR,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,29.99,Gray,FALSE,Female
27,WHITE,1,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,37.49,Stone,FALSE,Female
44,WHITE,2,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,49.99,Black,FALSE,Female
36,WHITE,4,POOR,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,39.99,Black,FALSE,Female
43,WHITE,3,NPOOR,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,50.99,Black,FALSE,Female
26,WHITE,1,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,42.49,Black,FALSE,Female
36,WHITE,2,HINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Taupe,FALSE,Female
42,WHITE,6,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,37.49,Gray,FALSE,Female
43,WHITE,2,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,39.99,Stone,FALSE,Female
46,WHITE,3,LINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,42.49,Gray,FALSE,Female
35,WHITE,3,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,69.99,Black,FALSE,Female
29,WHITE,3,POOR,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,49.99,Stone,FALSE,Female
44,WHITE,7,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,59.99,Black,FALSE,Female
33,ASIAN,1,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,59.99,Gray,FALSE,Female
30,BLACK,2,LINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,42.49,Black,FALSE,Female
36,ASIAN,2,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,37.49,Black,FALSE,Female
43,WHITE,2,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,64.99,Black,FALSE,Female
27,WHITE,6,POOR,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,31.99,Stone,FALSE,Female
37,WHITE,5,LINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,39.99,Taupe,FALSE,Female
27,WHITE,4,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,69.99,Stone,FALSE,Female
35,BLACK,10,POOR,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,64.99,Taupe,FALSE,Female
31,WHITE,2,HINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,39.99,Stone,FALSE,Female
27,BLACK,2,NPOOR,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,39.99,Black,FALSE,Female
30,BLACK,3,MINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,33.99,Gray,FALSE,Female
37,BLACK,2,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,33.99,Stone,FALSE,Female
41,WHITE,1,POOR,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,69.99,Taupe,FALSE,Female
40,WHITE,1,POOR,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,31.99,Black,FALSE,Female
41,WHITE,4,HINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Black,FALSE,Female
35,WHITE,4,MINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,44.99,Black,FALSE,Female
27,WHITE,5,POOR,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,49.99,Black,FALSE,Female
26,WHITE,7,POOR,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,29.99,Stone,FALSE,Female
26,WHITE,7,POOR,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,42.49,Taupe,FALSE,Female
27,WHITE,6,POOR,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,29.99,Taupe,FALSE,Female
41,ASIAN,7,LINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,59.99,Taupe,FALSE,Female
33,WHITE,4,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,33.99,Taupe,FALSE,Female
31,WHITE,6,LINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,42.49,Taupe,FALSE,Female
44,ASIAN,5,NPOOR,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,33.99,Taupe,FALSE,Female
37,WHITE,7,MINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,33.99,Black,FALSE,Female
26,WHITE,7,LINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,49.99,Taupe,FALSE,Female
39,WHITE,7,LINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,31.99,Taupe,FALSE,Female
36,WHITE,4,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,37.49,Black,FALSE,Female
38,WHITE,3,MINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Stone,FALSE,Female
38,WHITE,3,HINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,50.99,Gray,FALSE,Female
33,WHITE,1,MINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,39.99,Gray,FALSE,Female
33,WHITE,6,NPOOR,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,33.99,Black,FALSE,Female
29,WHITE,5,LINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,39.99,Black,FALSE,Female
36,WHITE,5,LINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,33.99,Black,FALSE,Female
42,WHITE,2,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,64.99,Black,FALSE,Female
40,WHITE,4,POOR,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,50.99,Stone,FALSE,Female
28,WHITE,2,HINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,64.99,Black,FALSE,Female
43,WHITE,5,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,39.99,Taupe,FALSE,Female
37,WHITE,2,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Stone,FALSE,Female
41,BLACK,3,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,33.99,Black,FALSE,Female
36,BLACK,3,POOR,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Black,FALSE,Female
29,ASIAN,3,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,31.99,Stone,FALSE,Female
37,WHITE,2,LINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Taupe,FALSE,Female
25,WHITE,4,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,59.99,Gray,FALSE,Female
41,WHITE,3,HINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Gray,FALSE,Female
45,WHITE,1,LINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,33.99,Gray,FALSE,Female
39,WHITE,2,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Gray,FALSE,Female
28,WHITE,4,LINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,31.99,Stone,FALSE,Female
44,BLACK,7,POOR,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,50.99,Black,FALSE,Female
34,WHITE,2,HINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,50.99,Stone,FALSE,Female
32,BLACK,4,HINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,31.99,Black,FALSE,Female
30,WHITE,4,HINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,31.99,Black,FALSE,Female
41,WHITE,4,HINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,31.99,Stone,FALSE,Female
35,WHITE,4,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,31.99,Taupe,FALSE,Female
39,WHITE,5,LINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,31.99,Gray,FALSE,Female
27,WHITE,1,HINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,42.49,Stone,FALSE,Female
28,BLACK,2,POOR,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,31.99,Gray,FALSE,Female
41,WHITE,5,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,44.99,Taupe,FALSE,Female
44,BLACK,4,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,33.99,Taupe,FALSE,Female
37,BLACK,4,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,69.99,Gray,FALSE,Female
27,WHITE,2,HINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,49.99,Gray,FALSE,Female
42,WHITE,6,LINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,64.99,Stone,FALSE,Female
36,WHITE,5,LINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,42.49,Stone,FALSE,Female
29,WHITE,2,MINCOME,MIDWEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,44.99,Gray,FALSE,Female
30,WHITE,3,MINCOME,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,50.99,Black,FALSE,Female
33,BLACK,3,LINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,37.49,Stone,FALSE,Female
25,OTHER,1,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,44.99,Taupe,FALSE,Female
37,WHITE,2,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,29.99,Stone,FALSE,Female
36,BLACK,5,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,33.99,Gray,FALSE,Female
43,WHITE,4,POOR,NORTHEAST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,39.99,Gray,FALSE,Female
42,WHITE,2,MINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,59.99,Taupe,FALSE,Female
43,ASIAN,1,MINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",69.99,59.99,Taupe,FALSE,Female
36,WHITE,6,HINCOME,SOUTH,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,29.99,Black,FALSE,Female
31,WHITE,4,HINCOME,WEST,"Womens,Shoes,Pumps,Heels,Journee Collection,Clothing,Women's Shoes,All Women's Shoes,Women's Boots","Stone,Black,Grey,Taupe",64.99,37.49,Taupe,FALSE,Female
